name,designation,speciality,location,fee
Dr. Imran Aheer,N/A,General Physician,"G.P Clinic                College Road PCSIR A Block Near Sheraz Town  Kareem Chowk College Road , Lahore",Fee: Rs 200
Dr Shahid Mahmood Malik,Consultant Cardiothoracic Surgeon Head of Department,Cardiologists,"Ittefaq Hospital (Trust)                Near H- Block, Model Town, Lahore.  Model Town , Lahore",
Dr. Ahsan Akhtar Khan,N/A,Orthopedics,"Nisar Hospital, Charing cross Rawalpindi                    , Rawalpindi",Fee: Rs 1000
Dr. BAKHT Aziz,N/A,ENT Specialist,"Defence Medical Group (DHA)                Dr.bakht aziz Assistant professor Consultant ENT and Head & Neck surgeon Mayo hospital lahore.   DHA , Lahore",Fee: Rs 1500
Dr. Salman mansoor,N/A,Skin Specialists | Dermatologists,"SKIN  HAIR  NAIL & COSMETIC SURGERY                DHA Medical Centre  P-38 / A, 10th Street,  Phase-VI, DHA,   Khayaban-e-Rahat , karachi",Fee: Rs 1500
Dr Abdul Hameed,Consultant,Skin Specialists | Dermatologists,"Fatima Memorial Hospital                Main Boulevard, Phase 2, Shadman, Lahore.  Shadman , Lahore",
Dr.BILAL MALIK,N/A,Physiotherapist,"REHAB SPIRITS.USA Based Home Physio Company                  F-11  , Islamabad",Fee: Rs 1500
Dr. Ahmad Yar Qadri,N/A,Homoeopathic general physician,"Ahmad Homoeopathic Clinic                Main Gulshan E Fatima   , Okara",
Dr. Kamal Saleem,CARDIAC SURGERY (Paeds),Cardiologists,"Armed Forces Institute of Cardiology                Peshawar Rd, Rawalpindi.  Peshawar Rd , Rawalpindi",
Maj. Muhammad Afsheen Iqbal,Cardiac Surgeons AFIC/NIHD,Cardiologists,"109/1, St-1, Race Course Road, Rawalpindi.  Westridge , Rawalpindi",
Dr. Rasheed ali,N/A,Diabetologists,"Ali Medical Center                  H-8 , Islamabad",Fee: Rs 1000
Dr. Syed Nazir Hussain,N/A,Cardiologists,"TO Clinic                Kaneez fatima society block # 2 House no R-10, Row-F  Gulshan-e-Iqbal , karachi",Fee: Rs 1500
Assistant Professor Dr Junaid Javaid,N/A,Orthopaedics,"Maryam memorial Hospital                Bahria town  civic centre phase 3 bahria town , Rawalpindi",
Dr. Syed Salahuddin Babur,N/A,Psychiatrist,"Salahuddin Babur Mntal Health Services                   , Islamabad",Fee: Rs 2000
Dr. Muhammad Ali Randhawa,N/A,Physiotherapist,"Physiotherapy and Health Clinic                Westridge, Rawalpindi , Pakistan.  Westridge , Rawalpindi",Fee: Rs 1000
Dr. Imran Ghafoor (PT),N/A,Physiotherapist,"Social security hospital                   I-12 , Islamabad",Fee: Rs 1000
Dr. Asif Mahmood Janjua,N/A,Cardiologists,"Armed Forces Institute of Cardiology                Peshawar Rd, Rawalpindi.   Peshawar Rd , Rawalpindi",
Dr Nasreen Chaudhary,N/A,Gynecologists,"The Aga Khan University Hospital                 Aga Khan Consulting Clinic 4, Stadium Road, Karachi.   Stadium Road , karachi",
Dr. Muhammad Azeem,N/A,Consultant Radiologist,"Khair ul Bria Diagnostic centre                Feroz pur road lahore  Near LGH LAHORE , Lahore",Fee: Rs 1000
Dr. Asghar Aurangzeb Durrani,N/A,Medical Specialist,"Iftikhar Eye Hospital                184-A-I, Sirsyed Road, Rawalpindi.   Sirsyed Road , Rawalpindi",
Dr. Javed Hayat,N/A,Cardiologists,"Shifa International Hospital                 Pitras Bukhari Road, H-8/4, Islamabad.   H-8 , Islamabad",
Dr. Jansher Mansoori Panu,N/A,Physiotherapist,"Medcare Physiotherapy & Sports Injuriea Clinic                Gill road, Gujranwala  Medcare international hospital gill road , Gujranwala",Fee: Rs 1000
Dr. Sumera Nazeer,N/A,Gynecologists,"Al-Rehman Hospital                Gulraiz Phase III, Near Margala Dental College, Rawalpindi.  Gulrez Phase III , Rawalpindi",
Dr. Naveed Ali Bahadur,N/A,Pulmonalogy,"Alkhaliq Patient care                Nishter Road   , Multan",Fee: Rs 400
Dr.Muhammad Ahmad,N/A,General Physician,"Ahmad Clinic                Near haveli Mian yousaf salah uddin chowk baroof khana walled city pani wala talab Lahore.   Allam Iqbal Town , Lahore",Fee: Rs 500
Professor of ENT Dr. M. Rafique Gooda,N/A,ENT Specialist,"Patel Hospital                ST-18, Block-4 , Gulshan-e-Iqbal, Karachi.  Gulshan-e-Iqbal , karachi",
Dr Obaid Ur Rehman,N/A,Skin Specialists | Dermatologists,"Obaid-ur-Rehman 4_Mozang Road, Lahore.   Mozang  , Lahore",
Dr. Talal Sherazee,N/A,General Practitioner,"OPD Complex                Jhelum Road, Near Bahria Phase VIII Gate, Sawan , Rawalpindi.  Sawan , Rawalpindi",
Dr. Rehana Abdul Sattar,N/A,Gynecologists,"Fatima Medical Complex                Daska. Circular Road,Sialkot, Punjab, Pakistan.   Daska ,",
Dr Nuzhat Faruqui,N/A,Urologists,"AKUH Consulting Clinic                AKUH Consulting Clinic, Stadium Road.  Stadium Road , karachi",
Dr Zeenat Eva Khan,N/A,Gynecologists,"National Medical Centre                 A-5/A, National Highway, Phase 1, Defence Housing Authority,Near Kala Pul, Karachi.   DHA  , karachi",
Dr. M. Adnan Masood,N/A,"Medicine , Gastroenterology","Niazi Medical Complex VIP Block                   , Sargodha",Fee: Rs 500
Dr Yousuf Khatri,N/A,Diabetologists,"National Medical Centre                Korangi Road, Phase 1, DHA, Karachi.  DHA  , karachi",
Dr. Ahsan Waheed Rathore,N/A,Child Specialist,"Fatima Memorial Hospital                Shadman Rd, Lahore.  Shadman Road ,",
Prof.Dr. Mohammed Mohsin,N/A,Pain management and Medical Acupuncture,"MEDEX CLINICS                251-G1 ,Johar Town ,Lahore  Johar Town , Lahore",Fee: Rs 2000
Dr Ayesha Latif Sorathia,N/A,Diabetologists,"OMI Hospital                Kiyani Shaheed Road, Gazdarabad, Karachi.   Gazdarabad , karachi",
Dr. Sanjeeda Begum,N/A,Gynecologists,"Al Rehman Maternity & Surgical Centre                71/C, Satellite Town, Chara Road, Rawalpindi.  Satellite Town , Rawalpindi",
Dr. Muhammad Nafees Raza,N/A,Dentist,"Pak Asia Dental Care                B-335, Choti Market, Back Side Sweet Palace, Commercial Market, Satellite town, Rawalpindi.  Satellite town , Rawalpindi",
Dr. Maria Ali Syed,N/A,Dentist,"Margalla Dental Hospital                Prosthodontics DepartmentQuaid-e-Azam Avenue, Gulrez Phase III, Rawalpindi.  Gulrez Phase III , Rawalpindi",
Dr Ayesha Azam Khan,N/A,Gynecologists,"National Hospital                Defence Housing Authority, Lahore.  DHA , Lahore",
Dr. Zulkifal Awan,N/A,ENT Specialist,"Islamabad ENT Clinic                Shop # 13, Huma Plaza, Fazal-e-Haq Road, (Opp. Polyclinic Hospital), Islamabad.  Fazal-e-Haq Road , Rawalpindi",
Dr Brig(r) Abrar Hussain Zaidi,N/A,"General, Laparoscopic and Oncoplastic Surgeon","HIT_Taxila                Museum Road -Taxila  Taxila Cantt , Rawalpindi",Fee: Rs 1000
Dr. kashif,N/A,Radiologist,"huski clinic                  saddar , karachi",Fee: Rs 1500
Dr. Usman Habib,N/A,General Practitioner,"Basharat Hospital                Near Defence Chowk, Opp. Al-Shifa Trust Eye Hostipal, Jelum Road, Rawalpindi.  Near Defence Chowk , Rawalpindi",
Dr Rana Nizam Jamili,N/A,Gynecologists,"National Medical Centre                A-5/A, National Highway, Phase 1, Defence Housing Authority,Near Kala Pul, Karachi.  DHA , karachi",
Dr Raheela Mohsin,N/A,Gynecologists,"The Aga Khan University Hospital                 Akuh Consulting Clinic 4, Stadium Road, Karachi.  Stadium Road , karachi",
Dr. Hayat Ali Yousefzai,N/A,psychologist,"Ziauddin University Hospital                Plot No. 33, Behind Kpt Hospital, Keamari,  Karachi, Pakistan.  Ph:(9221) 32851881-5   , karachi",Fee: Rs 1000
Dr. Khurram Tahir,N/A,Dentist,"American Dental Clinic                Unit # 5, Chaudhary Yaqub Plaza, F-10 Markaz, Islamabad.  F-10 , Islamabad",
Dr. Khuda Bux Shaikh,N/A,Cardiologists,"Bunglow No. 166, Block-F, Citizen Colony, Rawalpindi.+9251-9271002  Citizen Colony , Islamabad",
Prof. Dr. C.M. Anwar,N/A,Child Specialist,"Anwar Hospital                1-Javed Lane, Near Feroze Sons / Old Supreme Court, Peshawar Road, Rawalpindi.  Peshawar Road  , Rawalpindi",
Dr. Jamshaid Gulzar,N/A,Child Specialist,"Bilal Hospital                38-A, Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi",
Dr Mohammad Owais Farooqui,N/A,Gynecologists,"Ammar Medical Complex                8-Haroon Shah Scheme, Main Jail Road, Lahore.  Main Jail Road , Lahore",
Maj Gen (R) Prof Dr. Asif Ali Khan HI (M),N/A,Cardiac Surgeon,"Premium Diagnostic & Premium Clinic                 8/A Akbar Road Romi line Rawalpindi  The Mall Road , Rawalpindi",Fee: Rs 1000
Dr Mohammad Shahab Ghani,N/A,Plastic & Aesthetic Surgeon,"Liaquat National Hospital                National Stadium Road, Essa Nagri, Karachi .   , karachi",
Dr. Javed Akhtar,N/A,Pain Management,"Hassan medical center                 Dha and Iqbal park Lahore cantt   Lahore cantt , Lahore",Fee: Rs 1500
Dr Daulat Pinjani,N/A,Skin Specialists | Dermatologists,"Taj Medical Complex                M. A. Jinnah Road, Jacob Lines, Karachi.  Jacob Lines , karachi",
Dr. Osama Ishtiaq,N/A,Diabetologists,"Shifa International Hospital                Shifa International Hospital, Pitras Bukhari Road, H-8/4, H-8, Islamabad.  H-8 , Islamabad",
Dr. Zafar Ahmed,N/A,ENT Specialist,"Iftikhar Eye Hospital                ENT and Head & Neck Surgery Department184-A-I, Sirsyed Road, Rawalpindi.  Sirsyed Road , Rawalpindi",
Dr. Haresh Kumar,N/A,paediatrics,"Naila maternity and general hospital shah faisal colony                near shama shopping center  shah faisal colony , karachi",Fee: Rs 500
Dr mujahid hasnain kathia,N/A,Pediatricians,", Lahore",
Dr. Imtiaz Ahmed Chaudhry,N/A,Cardiologists,"Armed Forces Institute of Cardiology                Peshawar Rd, Rawalpindi.   Peshawar Rd , Rawalpindi",
Dr. Abdul Ghaffar,N/A,General Physician,"Rahat Hospital                Main Service Road, Shkriyal, Near Khana Pul, Rawalpindi.   Shkriyal , Rawalpindi",
Dr. Adeel Masoud,N/A,Pediatrician,"Raamay Clinic                Ali View Garden,Bedian Road,Nadirabad  Lahore Cantt , Lahore",Fee: Rs 250
Dr. Tariq Niaz,N/A,Skin Specialists | Dermatologists,"SKIN IMAGE                127 B1 Near Allah Hu Chowk   Johar Town , Lahore",Fee: Rs 1000
Consultant Dermatologist Brig Asher A Mashhood,N/A,Dermatologist,"Combined Military Hospital                  Mall Road , Peshawar",
Dr. Mohsin Butt,N/A,Child Specialist,"Pediatrician Valey Clinic                  Peshawar Road , Rawalpindi",Fee: Rs 700
Dr. Saqiba,N/A,psychologist,"Health Aid                internik  plaza,spring north, bahria town phase 7 Rawalpindi.  Alipure ,",Fee: Rs 1500
Dr. Aqeel Sadiq,N/A,Homoeopathic general physician,"Emaan Homoeopathic clinic                street No 7  Noor Bawa  , Gujranwala",Fee: Rs 500
Col. (R) Dr. Muhammad Afzal,N/A,Child Specialist,"Quaid-e-Azam International Hospital                Paediatrician Department Near Golra Mor, Adjacent Forebels School, Peshawar Road, Islamabad.  Peshawar Road , Islamabad",
Dr. Sohail Najmi,N/A,General physician/ practitoner.,"Najmi's Health Center                736 - Nargis Block Allama Iqbal Town   , Lahore",Fee: Rs 1000
Dr. Marrium Zakri,N/A,,"apple                main 6 road   Haq Clinic 6 Road  , Rawalpindi",Fee: Rs 700
Dr. Usamah Mahmood,N/A,Dentist,"Anas Medical & Dental Centre                Clinic: Chandni Chowk, Murree Road, Rawalpindi.  Chandni Chowk , Rawalpindi",
Professor Dr.Mashoor Alam Shah,N/A,Diabetologist,"Hill Park General Hospital                   Shaheed Milta Road  , karachi",Fee: Rs 2000
Dr. Qaisar Shehzad Humayoon,N/A,Child Specialist,"Qaisar Clinic, Sardar Alam Khan Road, Rawalpindi.  Alam Khan Road , Rawalpindi",
Dr. Syed Salahuddin Babur,N/A,,"Maroof International Hospital & Pharmacy                Plot No.7, 10th Avenue.   F-10 Markaz , Islamabad",
Prof Dr Naseema F. Kapadia,N/A,Skin Specialists | Dermatologists,"Abbasi Shaheed Hospital                Tabish Dehlavi Road, Karachi.  Tabish Dehlavi Road , karachi",
Dr PROF. GUL MUHAMMAD MEMON,N/A,ENT Specialist,"14/7 Avenue 7 Civil Lines Hyderabad.  Civil Lines  , Hyderabad",
Dr. Salman,N/A,physotherapist,"Salman Physotherapist Clinic                Salman physiotherapist clinic mugalpura lahore  Mughal Pura , Lahore",Fee: Rs 200
Dr M Sajid Abbas,N/A,Diabetologists,"National Medical Centre                ,A-5/A, National Highway,,Near Kala Pul,, Korangi Road, Karachi.  DHA  , karachi",
Dr. Fahad Naeem,N/A,Dentist,"The Dental Practice                First Floor, Capital Trade Centre, F-10 Markaz, Islamabad.   F-10 Markaz , Rawalpindi",
Brig (R) Prof. Dr. Muhammad Iqbal,N/A,Gastroenterology,"Quaid-e-Azam International Hospital                G.I DepartmentNear Golra Mor, Adjacent Forebels School, Peshawar Road, Islamabad.  Near Golra Mor , Islamabad",
Dr. Ijaz Abid,N/A,Medical Specialist,"Quaid-e-Azam International Hospital                Medical DepartmentNear Golra Mor, Adjacent Forebels School, Peshawar Road, Islamabad.  Golra Mor , Islamabad",
Dr. Shaiza Saleem,N/A,Gynecologists,"Home                Street No 4   Ameerabad , Multan",Fee: Rs 500
Dr Azra Amerjee,N/A,Gynecologists,"The Aga Khan University Hospital                 Consulting Clinic 4, Stadium Road, Karachi.  Stadium Road , karachi",
Homeopathic Dr. Amjad Hussain,N/A,Homeopathic Doctor,"Sunny Homeopathic clinic                202 RB, Bhai wala,  Chenab road , Faisalabad",Fee: Rs 500
Dr Seema Y. Zia,N/A,Skin Specialists | Dermatologists,"Ziauddin Medical University Hospital                4/B, Shahrah-e-Ghalib, Block 6, Clifton, Karachi.  Clifton , karachi",
Dr. Umar ahad,N/A,Dental surgeon,"Ahad dental clinic                   ,",Fee: Rs 300
Dr. Ajmal Rashid,N/A,Skin Specialists | Dermatologists,"BOULEVARD HOSPITAL                NEAR TOYOTA MOTORS KORANGI ROAD KARACHI  KORANGI ROAD , karachi",Fee: Rs 1500
Dr Saadia Usman,N/A,Gynecologists,"Fatima Memorial Hospital                Main Boulevard, Phase 2, Shadman, Lahore.  Shadman  , Lahore",
Dr Fazal e Rabi,N/A,Cardiologists,"National Medical Centre                NA-5/A, National Highway, Phase 1, Defence Housing Authority,Near Kala Pul, Karachi.  DHA , karachi",
Dr Shahid Iqbal Burewala,N/A,General Surgeon,"Shahid Surgical Complex                 House No 22-G Ghalla Mandi Burewala.  Ghalla Mandi , Bahawalpur",
Dr. Syed Nasir Abbas,N/A,Oncologist,"Masood hospital                Near kalma chok. Lahore   New Garden Town , Lahore",Fee: Rs 1500
ATTIYA SHAIKH,N/A,Dentist,"The Aga Khan University Hospital                 Clifton Medical Services, Karachi.    Clifton , karachi",
Dr. Masood Qadir Sheikh,N/A,Dentist,"Rehman Dental Clinic                Madni Tower, Chaklala Scheme III, Rawalpindi.  Chaklala Scheme III , Rawalpindi",
Dr Muhammad Usman Khan,N/A,Urologists,"Shaukat Khanum Memorial Cancer Hospital and Research Centre                7A Block R-3M.A. Johar Town, Lahore.  Johar Town , Lahore",
Dr. Raja Tariq Mahmood,N/A,Child Specialist,"Basharat Hospital                Near Defence Chowk, Opp. Al-Shifa Trust Eye Hostipal, Jehlum Road, Rawalpindi.  Jehlum Road , Rawalpindi",
Dr. Nayab Farooq Khan,N/A,Dentist,"Quaid-e-Azam International Hospital                Dental Department Near Golra Mor, Adjacent Forebels School, Peshawar Road, Islamabad.  Near Golra Mor , Islamabad",
Dr. Mohammad Jamil,N/A,General Practitioner,"Ahmad Medical Complex                Emergency OPD.70-C Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi",
Dr Prof Jamal Ara,N/A,Diabetologists,"National Medical Centre                A-5/A, National Highway, Phase 1, Defence Housing Authority,Near Kala Pul, Karachi.  DHA , karachi",
Dr Ashfaq Ahmed,N/A,Gastroenterology,"The Aga Khan University Hospital                 Consulting Clinics (JHS Building -Second Floor). Stadium Road, Karachi.  Stadium Road , karachi",
Dr Asma Ahmed,N/A,Diabetologists,"Aga Khan University Hospital,                Stadium Road, Karachi.  Stadium Rd , karachi",
Dr. Tariq Medical Centre,N/A,Orthopaedics,"TARIQ MEDICAL CENTRE                asghar mall road   , Rawalpindi",Fee: Rs 1000
Dr. Aamna Abid,N/A,General Practitioner,"Family Care                   , Rawalpindi",Fee: Rs 300
Dr Mujeeb,N/A,ENT Specialist,"Dr. Mujeeb's ENT Clinic                37-B, Gulberg 2, Lahore, Pakistan, Lahore.  Gulberg II , Lahore",
Dr Murad Moosa Khan,N/A,Psychiatrist,"AKUH Consulting Clinic                Stadium Road, Karachi.  Stadium Road , karachi",
Dr Rafia Irum,N/A,Radiologist,"IQRAA Medical Complex                 IQRAA Medical Complex Akbar Chowk   Johar Town , Lahore",Fee: Rs 2000
Dr Shahid Kamal,N/A,Diabetologists,"National Medical Centre                A-5/A, National Highway, Near Kala Pul,, Korangi Road, Karachi.  DHA , karachi",
Dr. Raja Asif Ali,N/A,General physician/ practitoner.,"Zohara Medical centre                 Behind shafique medical centre   College road mandian , Abbottabad",Fee: Rs 500
Dr. Imran Anwar,N/A,Dentist,"Iftikhar Eye Hospital                184-A-I, Sirsyed Road, Rawalpindi.  Sirsyed Road , Rawalpindi",
Prof. Dr. Muhammad Tariq,N/A,ENT Specialist,"Raza Medical Complex                Jaild Road Lahore   , Lahore",Fee: Rs 2000
Dr. Saeed Mustafa,N/A,Dentist,"Capital Dental Clinic                 F-4, First Floor Sardar Arcade, Near Bank Alfalah, G-11 Markaz, Islamabad.    G-11  , Islamabad",
Dr. Amin-ur-Rahman,N/A,Dentist,"Amin Dental Surgery                 1st Floor Office # 13, Golden Plaza, G-11 Markaz, Islamabad.  G-11  , Islamabad",
Dr. Ahla Malik,N/A,Psychiatrist,"Cooper Consultants Clinic                F-61 / 9, Block 4, Kehkashan Clifton, Karachi 021-35370671–4, 0316-2113800  Clifton  , karachi",Fee: Rs
Dr. Salman Ahmad Shah,Pediatric Heart Surgeon in Lahore - 03129611000,Cardiologists,"Children Hospital                Ferozpur Road, Lahore   , Lahore",
Dr. Adeel Tahir,N/A,Dentist,"Margalla Dental Hospital                Operative Dentistry / Oral Biology DepartmentQuaid-e-Azam Avenue, Gulrez Phase III, Rawalpindi.  Gulrez Phase III , Islamabad",
Dr. Uzma Sharif,N/A,General Practitioner,"OPD Complex                Jhelum Road, Near Bahria Phase VIII Gate, Sawan, Rawalpindi.  Sawan , Islamabad",
Dr. Sadia Shakil,N/A,Psychotherapist,"Bee Well                  Blue Area, DHA-1 , Islamabad",Fee: Rs 2000
Dr. Nadeem Zia,N/A,Oncologist,"Naz Hospital                Opp. Lahore Central Jail  Shadman , Lahore",Fee: Rs 1500
Dr Mohammad Hasanat Sharif,N/A,Cardiologists,"Aga Khan University Hospital                CC Nazerali Walji-1, Stadium Road. Karachi.  Walji-1 , karachi",
Dr. Saeeda Malik,N/A,Gynecologists,"South City Hospital                 Street 1, Block 3, Sharah-e-Firdous, Clifton, Karachi.  Clifton , karachi",
Dr. Inamullah Shah,N/A,Surgery,"Iftikhar Eye Hospital, Near Punjab House                DHA Phase 1  Fauji Foundation Hospital , Rawalpindi",Fee: Rs 1000
Dr. Masoor Hussain Malik,N/A,Urologists,"Hayat Wali Hospital                Asgharmall  Asgharmall road , Rawalpindi",Fee: Rs 800
Dr. Khalid Mahmood,N/A,"General, Laparoscopic and Oncoplastic Surgeon","CMH Lahore                Abdul Rehman Road  Lahore Cantt , Lahore",Fee: Rs 1000
Dr. ZAHOOR AHMAD AWAN,N/A,Medical Specialist,"maryam memorial hospital                peshawar road   , Rawalpindi",Fee: Rs 1200
Dr. Azhar Nasir Mian,N/A,General Surgeon,"Dr. Azhar Nasir Mian Clinic                Lalazar Chowk, Commissioner Road, Sialkot.  Lalazar Chowk ,",
Dr Samrina Hashmi,N/A,Gynecologists,"Noor Hospital                Plot S.T. 11, block 19, Alnoor Society.  Federal B Area , karachi",
Dr Jamsheer Talati,N/A,Urologists,"Aga Khan University Hospital                JHS Building 1st Floor, A.K.U.H., Stadium Road.  Stadium Road , karachi",
Dr.Aslam Parvez,N/A,Skin Specialists | Dermatologists,"22-E Mushtaq Ahmed Gurmani Rd, Lahore.  Gurmani Rd , Lahore",
Dr Mudasser Iqbal Dar,N/A,Cardiologists,"National Medical Centre                A-5/A, National Highway, Near Kala Pul, Korangi Road, Karachi.  DHA , karachi",
Dr. Ihtasham Mohammad Chaudhary,N/A,General Surgeon,"Ahmad Medical Complex                Surgery Department. 70-C Satellite Town, Sadiqabad Road, Rawalpindi.  Satellite Town , Rawalpindi",
Dr. Muhammad Haroon,N/A,"Intensive Care, chest & medical specialist","Maxhealth hospital                 Main Road G8   G-8 markaz , Islamabad",Fee: Rs 1500
DR Muhammad Qamar Mubir Sheikh,N/A,General Practitioner,"NAZIR FATIMA CLINIC                  CHURCH ROAD ,",
Dr. Shahzad Riyaz,N/A,,"Shifa International Hospital                  H-8 , Islamabad",Fee: Rs 2000
Dr. Soban Sarwar Gondal,N/A,Neurosurgeon Consultant/Specialist,"Jinnah Memorial Hospital                 2-A Civil lines, opposite punjab house, Rawalpindi  Rawalpindi , Rawalpindi",Fee: Rs 1000
Dr. Abid Hussain,N/A,Dentist,"Dental Art                1st Floor Office # 1, Ghulam Rasool Plaza Opp. Excel Lab, Fazal-e-haq Road, Blue Area, Islamabad.   Blue Area , Islamabad",
Dr. Zakir Ahmad,N/A,Skin Specialists | Dermatologists,"Khyber Medical Centre                Dabgari Garden, Peshawar.  Dabgari Garden , Peshawar",
Dr. M Adeel Alam Shah,N/A,Family physician and Sonologist,"Family polyclinic Faisalabad                 Sadder Bazaar mansoorabad Street no 1   Jhumra Road  ,",Fee: Rs 500
Dr Muhammad Ashraf Wahla,N/A,Child Specialist,"Zeenat Javed Medical Complx Near Chungi no.6 Bosan Road Multan.  Chungi no.6  , Multan",
Dr. Humaira Gilani,N/A,Skin Specialists | Dermatologists,"Northwest General Hospital & Research Centre                Phase 5, Hayatabad, Peshawar (Near Passport Office).  Hayatabad , Peshawar",
Dr. Nauman Bari Khan,N/A,Dentist,"Clinic                The Dental Lounge  Gulrez Phase III , Rawalpindi",
Dr. Farhan Saeed,N/A,"General, Laparoscopic and Oncoplastic Surgeon","Medicsi Hospital                 Saudi Pak Tower Blue Area Islamabad.  Blue Area , Islamabad",Fee: Rs 1500
Dr. Masood Sohail,N/A,Skin Specialists | Dermatologists,"Iqra Medical Complex                 Akbar Chowk , Johar Town, Lahore.  Johar Town , Lahore",
Dr. Muhammad Akhtar Hunjra,N/A,Physiotherapist,"Medcare Sports Injuries Clinic                    , Gujranwala",Fee: Rs 1000
Dr. Khurram Kaleem,N/A,Dentist,"Khurram Dental Centre                Hourse # 317, Street # 14, Chaklala Scheme III, Rawalpindi.   , Rawalpindi",
Dr Saeed Akhtar,Associate Consultant Urologist Director Kidney Transplant Centre,Urologists,"Shifa International Hospital, Pitras Bukhari Road, H-8/4, H-8, Islamabad.  H-8 , Islamabad",
Dr Muhammad Muneer Amanullah,N/A,Cardiologists,"Aga Khan University Hospital                Consulting Clinic 5, CC Nazerali Walji-2, Karachi.  Stadium Road , karachi",
Dr. Farrukh Aslam,N/A,Plastic & Aesthetic Surgeon,"Laforma Plastic, Cosmetic and Hair Transplant Surgery                 Clinic, 41-B, Johar Town, Lahore.  Johar Town , Lahore",
Dr Ashraf Yousuf,N/A,Cardiologists,"National Medical Centre                A-5/A, National Highway,,Near Kala Pul,, Korangi Road, Karachi.  DHA  , karachi",
Dr. Muhammad Nabeel,N/A,Dentist,"Capital Dental Clinic                F 4, First floor darbar arcade, near bank Alfalah,    , Islamabad",Fee: Rs 1000
Dr. Tahir Javed,N/A,Dentist,"Specialist Dental Centre                Saidpur Road, Kali Tanki, Rawalpindi.  Kali Tanki , Rawalpindi",
Assistant Professor of ENT Dr. Jawad Faisal Malik,N/A,ENT Specialist,"Medicsi 2                 Blue plaza.  Near PSO pump  Jinnah Super Market , Islamabad",Fee: Rs 1500
Dr Tahir Saeed Haroon,N/A,Skin Specialists | Dermatologists,"Surgimed Hospital                Surgimed Hospital, 1 - Zafar Ali Road, Lahore.  Gulberg 5 , Lahore",
Dr. Nasir Habib,N/A,Internal Medicine,"Khayaban Medical Centre                160 A , main Road Khayaban e Sirsyed , sector 1 , near Golden CNG  Khayaban e SirSyed , Islamabad",Fee: Rs 800
Dr. Ambreen,N/A,Orthopedics,"Aga Khan University Hospital                   , karachi",Fee: Rs 500
Dr. Muhammad Aslam Chaudhry,N/A,Dentist,"Afqad Dental Surgeons                Clinic 1128, Neelum Road, G-9/4, Islamabad.  G-9 , Islamabad",
Dr. Shaukat Nawaz,N/A,"General, Laparoscopic and Oncoplastic Surgeon","Quaid i Azam Hospital                   , Islamabad",Fee: Rs 1500
Dr. Sania Hafeez,N/A,Physiotherapist,"Medcare Physiotherapy and Sports injuries                 Gill road.  Medcare international hospital , Gujranwala",Fee: Rs 1000
Dr. Huma Tasleem,Consultant Obstetrician & Gynecologist,Gynecologists,"Shifa Medical Center                 Savoy Arcade (Next to Standard Chartered Bank),F-11 Markaz, Islamabad.  F-11  , Islamabad",
Dr Akhter Hussain,N/A,Cardiologists,"National Medical Centre                A-5/A, National Highway, Phase 1, Defence Housing Authority,Near Kala Pul, Karachi.  DHA  , karachi",
Dr Muhammad Shahab,N/A,Dentist,"Wahab Dental And Medical Clinic                B-11/455, A Band Khanna Road, Muslim Town, Rawalpindi.  Muslim Town , Rawalpindi",
Dr. Adnan Ghafoor Orakzai,N/A,Diabetologist,"Attock hospital                   Morgah , Rawalpindi",Fee: Rs 1200
Romina,N/A,General Surgeon,N/A,N/A
Dr. Muhammad Usman Qaiser,N/A,Dentist,"Usman Dental Clinic                BM-34, Shop # 2, Commercial Market, Near Nadara Office, Satellite Town, Rawalpindi.  Satellite Town , Rawalpindi",
dr shoaib chachu,N/A,Child Specialist,N/A,N/A
Dr. M. Zubair Alauddin.,N/A,"General Physician,General Practitioner,Paediatric","Punjab cooperative housing society. Ghazi road. Lahore .   Punjab cooperative housing society , Lahore",
Squadron Leader Dr Arfat Jawaid,N/A,ENT Specialist,"PAF Hospital Faisal                Shahrah-e-Faisal, Karachi.   Shahrah-e-Faisal , karachi",
Dr Nabila Saifi,N/A,Gynecologists,"National Medical Center                 A-5/A, National Highway, Phase 1, Defence Housing Authority,Near Kala Pul, Karachi.    DHA , karachi",
Dr. Shahzad Naseem,N/A,Pediatrician,"sav-on medical center                    , Lahore",Fee: Rs 2000
Dr. Asif Kamal,N/A,Skin Specialists | Dermatologists,"Maryam Memorial Hospital                Dermatology DepartmentPeshawar Road, Rawalpindi.  Peshawar Road , Rawalpindi",
Dr. Samina Farooq Abbasi,N/A,Dentist,"Wab Dental Surgery                23-A, Railway Scheme III, Near Siddiqu Chowk, Airport Road, Rawalpindi.  Railway Scheme III , Rawalpindi",
Dr. Inamullah,N/A,Skin Specialists | Dermatologists,"Habib Medical Complex                Dabgari Garden, Peshawar.  Dabgari Garden , Peshawar",
Dr. Qazi Ahsan Azeem,N/A,ENT Specialist,"Ittefaq Hospital                Near H- Block, Model Town, Lahore.  Model Town , Lahore",
Dr. Riaz Ahmed Khokhar,N/A,General Surgeon,"Khokhar Medical Centre                117- Khokhar Medical Center, Tippu Road, Rawalpindi.  Tippu Road , Rawalpindi",
